user_screen_name,created_at," San diego County, CA",text,fav,rt_count,friend,clean_text_1,clean_text_2,Aspect,Prediction
jerrymaestas,Sun Oct 31 00:41:56 +0000 2021,Arcadia,Like zoinks Freddy I think something LGBT just happened to me https://t.co/ACCagvij19,36,1,194,like zoinks freddy i think something lgbt just happened to me ,like zoinks freddy think something lgbt happened,neutral,neutral
raincoatkilla,Sun Oct 31 00:40:38 +0000 2021,Arcadia,LGBT Twitter is like walking the streets in downtown Orlando there's people begging you for money every 5 feet,1,0,245,lgbt twitter is like walking the streets in downtown orlando there is people begging you for money every  feet,lgbt twitter like walking streets downtown orlando people begging money every feet,anti-lgbt,anti-lgbt
gaymlm,Sun Oct 31 00:00:04 +0000 2021,"Bakersfield, CA",First LGBT+ Afghans arrive in Britain since Talibanâs return #LGBT https://t.co/RtzuConm3X https://t.co/NtEeu7x8fw,0,0,17103,first lgbt afghans arrive in britain since taliban s return lgbt  ,first lgbt afghans arrive britain since taliban return lgbt,pro-lgbt,pro-lgbt
Robbie_Weber,Sat Oct 30 23:57:45 +0000 2021,"Bakersfield, CA",@LucyIsTalking Apparently it was critic bombed by a bunch of asshats for having an LGBT+ relationship so itâs probably still really great! People just suck!,1,0,701, apparently it was critic bombed by a bunch of asshats for having an lgbt relationship so it s probably still really great people just suck,apparently critic bombed bunch asshats lgbt relationship probably still really great people suck,pro-lgbt,pro-lgbt
AZPatriot22,Sat Oct 30 23:46:33 +0000 2021,"Bay Area, CA","@AGG_500 Sure, but Scalia was clearly anti-LGBT. Now we should be able to say that without being hyperbolic",0,0,590, sure but scalia was clearly antilgbt now we should be able to say that without being hyperbolic,sure scalia clearly antilgbt able say without hyperbolic,neutral,neutral
iamkaibus,Sat Oct 30 23:26:30 +0000 2021,"Bay Area, CA","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO No, I'm not assuming anything. I clearly said the agenda being pushed and nowhere did I say it (an agenda) was being pushed by the LGBT community members themselves.",0,0,26,    no i am not assuming anything i clearly said the agenda being pushed and nowhere did i say it an agenda was being pushed by the lgbt community members themselves,assuming anything clearly said agenda pushed nowhere say agenda pushed lgbt community members,neutral,neutral
iamkaibus,Sat Oct 30 23:22:18 +0000 2021,"Bay Area, CA","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO Lol as though I need permission. This whole conversation is laughable. I will say I'm sorry if I offended you. I'm not sorry for what I said and I am not an LGBT supporter. This whole thing is out of hand and, sadly, innocent children will pay the price.",0,0,26,    lol as though i need permission this whole conversation is laughable i will say i am sorry if i offended you i am not sorry for what i said and i am not an lgbt supporter this whole thing is out of hand and sadly innocent children will pay the price,lol though need permission whole conversation laughable say sorry offended sorry said lgbt supporter whole thing hand sadly innocent children pay price,anti-lgbt,anti-lgbt
iamkaibus,Sat Oct 30 23:20:09 +0000 2021,"Bay Area, CA","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO You clearly know what I meant. Those in the LGBT community, most, have the same conundrum when it comes to who should be helped. That to stand up for one, we must stand for all. Sorry, nope. I get behind what I feel is needed. And I don't feel it's needed for LGBT.",0,0,26,    you clearly know what i meant those in the lgbt community most have the same conundrum when it comes to who should be helped that to stand up for one we must stand for all sorry nope i get behind what i feel is needed and i do not feel it is needed for lgbt,clearly know meant lgbt community conundrum comes helped stand one must stand sorry nope get behind feel needed feel needed lgbt,anti-lgbt,anti-lgbt
iamkaibus,Sat Oct 30 23:13:38 +0000 2021,"Bay Area, CA",@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO The agenda being pushed is sickening. Please take some English comprehension classes. Noone said being lgbt is sickening.,0,0,26,    the agenda being pushed is sickening please take some english comprehension classes noone said being lgbt is sickening,agenda pushed sickening please take english comprehension classes noone said lgbt sickening,neutral,neutral
iamkaibus,Sat Oct 30 23:11:20 +0000 2021,"Bay Area, CA","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO Whatever spectrum you belong to, I assume LGBT since you deem it necessary to announce your pronouns on your profile.",0,0,26,    whatever spectrum you belong to i assume lgbt since you deem it necessary to announce your pronouns on your profile,whatever spectrum belong assume lgbt since deem necessary announce pronouns profile,anti-lgbt,anti-lgbt
iamkaibus,Sat Oct 30 23:05:44 +0000 2021,"Bay Area, CA","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO No the tons of pride parades with people whipping their dicks around implies that. Most of the LGBT community makes it about sex. Lifestyle. Choice. So noone needs to choose to go along. Just live your life. Be happy with being you, who cares if people accept it?!",0,0,26,    no the tons of pride parades with people whipping their dicks around implies that most of the lgbt community makes it about sex lifestyle choice so noone needs to choose to go along just live your life be happy with being you who cares if people accept it,tons pride parades people whipping dicks around implies lgbt community makes sex lifestyle choice noone needs choose go along live life happy cares people accept,anti-lgbt,anti-lgbt
iamkaibus,Sat Oct 30 23:02:12 +0000 2021,"Bay Area, CA ","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO I love how all you replied to is far left. The deflection is real. I don't want anyone hurt. I don't. But the LGBT agenda, movement, whatever you want to call it, is an agenda. A sickening agenda. A group so confused by people not accepting them, yet they can't accept themselves.",0,0,26,    i love how all you replied to is far left the deflection is real i do not want anyone hurt i do not but the lgbt agenda movement whatever you want to call it is an agenda a sickening agenda a group so confused by people not accepting them yet they can not accept themselves,love replied far left deflection real want anyone hurt lgbt agenda movement whatever want call agenda sickening agenda group confused people accepting yet accept,anti-lgbt,anti-lgbt
mlknhnyheprms,Sat Oct 30 22:37:20 +0000 2021,"bay area, california","@BillyGraham Tell why u &amp; many others like u don't preach about things that r wrong in this world, like the pope &amp; the LGBT. Tell the world the truth even if that means this world come to hating u like they hated CHRIST JESUS for telling the truth about all that leads to hell itself",0,0,117, tell why u  many others like u do not preach about things that r wrong in this world like the pope  the lgbt tell the world the truth even if that means this world come to hating u like they hated christ jesus for telling the truth about all that leads to hell itself,tell u many others like u preach things r wrong world like pope lgbt tell world truth even means world come hating u like hated christ jesus telling truth leads hell,anti-lgbt,anti-lgbt
mlknhnyheprms,Sat Oct 30 22:37:03 +0000 2021,"bay area, california","@BishopJakes Tell why u &amp; many others like u don't preach about things that r wrong in this world, like the pope &amp; the LGBT. Tell the world the truth even if that means this world come to hating u like they hated CHRIST JESUS for telling the truth about all that leads to hell itself",0,0,117, tell why u  many others like u do not preach about things that r wrong in this world like the pope  the lgbt tell the world the truth even if that means this world come to hating u like they hated christ jesus for telling the truth about all that leads to hell itself,tell u many others like u preach things r wrong world like pope lgbt tell world truth even means world come hating u like hated christ jesus telling truth leads hell,anti-lgbt,anti-lgbt
mlknhnyheprms,Sat Oct 30 22:35:53 +0000 2021,"bay area, california","@JoyceMeyer Tell me why u &amp; many others like u don't preach about things that r wrong in this world, like the pope &amp; the LGBT. Tell the world the truth even if that means this world come to hating u like they hated CHRIST JESUS for telling the truth about all that leads to hell itself",0,0,117, tell me why u  many others like u do not preach about things that r wrong in this world like the pope  the lgbt tell the world the truth even if that means this world come to hating u like they hated christ jesus for telling the truth about all that leads to hell itself,tell u many others like u preach things r wrong world like pope lgbt tell world truth even means world come hating u like hated christ jesus telling truth leads hell,anti-lgbt,anti-lgbt
iamkaibus,Sat Oct 30 22:25:08 +0000 2021,"bay area, california","@bellemorgann @IreneSu00844470 @J_R_Harbidge @talkRADIO The world does change. What people like to think changes, such as their gender, actually doesn't. If you choose to go along with people redefining words, that's your choice. I choose not to go along with it. Do lgbt need special protection? No less than blacks? Miss me w/nonsense",0,0,26,    the world does change what people like to think changes such as their gender actually does not if you choose to go along with people redefining words that is your choice i choose not to go along with it do lgbt need special protection no less than blacks miss me wnonsense,world change people like think changes gender actually choose go along people redefining words choice choose go along lgbt need special protection less blacks miss wnonsense,anti-lgbt,anti-lgbt
mickiesoda,Sat Oct 30 22:06:30 +0000 2021,"bay area, california","@Sen_JoeManchin @lonelyplanet Please cut it out
You are doing a terrible harm to WV
Opposing background checks on assault weapons Womanâs right to choose, LGBT rights ? Having made millions from an increasingly obsolete industry, yes you the old time coal baron
Shame on you",0,0,80,  please cut it out you are doing a terrible harm to wv opposing background checks on assault weapons woman s right to choose lgbt rights  having made millions from an increasingly obsolete industry yes you the old time coal baron shame on you,please cut terrible harm wv opposing background checks assault weapons woman right choose lgbt rights made millions increasingly obsolete industry yes old time coal baron shame,neutral,neutral
JackHob73079501,Sat Oct 30 21:50:12 +0000 2021,"bay area, california","@SlowGoncalves I now identify as an LGBT - Afghani..
though I was born in the British Colony of Southern Rhodesia - resulting in  Zimbabwe refusing my passport.
The UK said I had no right to a UK passport...
so now what are my chances??",1,0,905, i now identify as an lgbt  afghani though i was born in the british colony of southern rhodesia  resulting in  zimbabwe refusing my passport the uk said i had no right to a uk passport so now what are my chances,identify lgbt afghani though born british colony southern rhodesia resulting zimbabwe refusing passport uk said right uk passport chances,neutral,anti-lgbt
amtraxVA,Sat Oct 30 21:49:27 +0000 2021,"bay area, california","Megaton Girl: A Radio Play About Love and Superheroes

Listen to it on https://t.co/AjKYzgGo1Q Spotify and all Podcast Apps #podcast #audiodrama #LGBT https://t.co/0BVCKLeram",16,12,2062,megaton girl a radio play about love and superheroes  listen to it on  spotify and all podcast apps podcast audiodrama lgbt ,megaton girl radio play love superheroes listen spotify podcast apps podcast audiodrama lgbt,pro-lgbt,pro-lgbt
SpongeBobKC,Sat Oct 30 21:40:35 +0000 2021,"bay area, california","GRANTED, the parents behavior inappropriate, BUT, parents have HAD ENOUGH FROM LEFTIST SCHOOL INDUSTRY NOT TEACHING OUR KIDS &amp; INDOCTRINATING THEM! When the MSM actively SUPPORT CRT &amp; LGBT PROPAGANDA in the schools, THIS PARENT IS THE RESULT!  https://t.co/pQDJrqowqj via @Yahoo",0,0,798,granted the parents behavior inappropriate but parents have had enough from leftist school industry not teaching our kids  indoctrinating them when the msm actively support crt  lgbt propaganda in the schools this parent is the result   via ,granted parents behavior inappropriate parents enough leftist school industry teaching kids indoctrinating msm actively support crt lgbt propaganda schools parent result via,anti-lgbt,anti-lgbt
sosolin,Sat Oct 30 21:40:15 +0000 2021,"BC, Canada","@TooncesDaCat @w_terrence @GourmetProvInt Terrence is an equal opportunity racist. I can't think of a demographic he hasn't made racist videos about...oh, wait..White people, unless they are LGBT 

https://t.co/dtIffQWmVC",1,0,2892,   terrence is an equal opportunity racist i can not think of a demographic he has not made racist videos aboutoh waitwhite people unless they are lgbt   ,terrence equal opportunity racist think demographic made racist videos aboutoh waitwhite people unless lgbt,neutral,neutral
meiselasb,Sat Oct 30 21:38:34 +0000 2021,"Bell, CA","New Video From Meidas: Youngkin aka Trumpkin has is target set on turning Virginia into TRUMPLAND. Chaos. Death. Sickness. Incompetence. Racism. Anti-LGBT Q. And PRO-Q. Youngkin is a sick man who kisses Trumpâs ring!!!

https://t.co/MPZwsclifO",230,137,1071,new video from meidas youngkin aka trumpkin has is target set on turning virginia into trumpland chaos death sickness incompetence racism antilgbt q and proq youngkin is a sick man who kisses trump s ring  ,new video meidas youngkin aka trumpkin target set turning virginia trumpland chaos death sickness incompetence racism antilgbt q proq youngkin sick man kisses trump ring,anti-lgbt,neutral
vinnieallavodka,Sat Oct 30 21:24:11 +0000 2021,"Beverly Hills, CA",@GlobalDanceGDE Iâve got a VIP band for day 2 to anyone who can give me a ride from LA and show me a good time.. be LGBT friendly and not scary (unless itâs your costume) https://t.co/QaLhJRUR0K,0,0,600, i ve got a vip band for day  to anyone who can give me a ride from la and show me a good time be lgbt friendly and not scary unless it s your costume ,got vip band day anyone give ride la show good time lgbt friendly scary unless costume,pro-lgbt,pro-lgbt
ericmstoltz,Sat Oct 30 21:22:48 +0000 2021,"Beverly Hills, CA",@realchrisrufo Clearly outrageous. Theyâre supposed to be teaching kids that LGBT people are born evil amirite,0,0,522, clearly outrageous they re supposed to be teaching kids that lgbt people are born evil amirite,clearly outrageous supposed teaching kids lgbt people born evil amirite,anti-lgbt,anti-lgbt
TimothyDutch,Sat Oct 30 21:22:34 +0000 2021,"Beverly Hills, CA","I need help detransitioning and I donât want to have to be forced to ask TERFS for support. I want a breast augmentation or some good fakes, and a wig while I grow my hair out. I canât find a way to do this through the LGBT center partially because I expect my T to be revoked.",6,1,307,i need help detransitioning and i don t want to have to be forced to ask terfs for support i want a breast augmentation or some good fakes and a wig while i grow my hair out i can t find a way to do this through the lgbt center partially because i expect my t to be revoked,need help detransitioning want forced ask terfs support want breast augmentation good fakes wig grow hair find way lgbt center partially expect revoked,neutral,neutral
LanaBro_93,Sat Oct 30 21:01:57 +0000 2021,"Beverly Hills, CA","am I the only one who finds it weird that christians often resist 'the world' in ways such as not joining movement for  LGBT rights or opting out of halloween but not in abstaining from nationalism, rejecting violence, refusing guns or resisting the temptation of power?",0,0,224,am i the only one who finds it weird that christians often resist  nothe world in ways such as not joining movement for  lgbt rights or opting out of halloween but not in abstaining from nationalism rejecting violence refusing guns or resisting the temptation of power,one finds weird christians often resist nothe world ways joining movement lgbt rights opting halloween abstaining nationalism rejecting violence refusing guns resisting temptation power,neutral,neutral
CrweWorld,Sat Oct 30 21:00:06 +0000 2021,"Big City, California",'I feel free' - LGBT Afghan refugees arrive in UK https://t.co/GFX55cm1QV,0,0,2063,i feel free  lgbt afghan refugees arrive in uk ,feel free lgbt afghan refugees arrive uk,pro-lgbt,pro-lgbt
squeakykikii,Sat Oct 30 20:15:34 +0000 2021,"Burbank, CA",daily reminder that trump was our campiest president #lgbt,2,0,105,daily reminder that trump was our campiest president lgbt,daily reminder trump campiest president lgbt,neutral,pro-lgbt
chrislillytv,Sat Oct 30 20:09:50 +0000 2021,"Burbank, CA","Like I have time for this right nowâ¦ ð¤ªð¤ªð¤ª
âââââ
#writing #writer @NaNoWriMo #WritingCommunity #author #amwritingfantasy #amwriting #shortstories #gay #lgbt #creative #youngadult #writingprompt #writerslife #nanowrimo2021 #NaNoWriMo https://t.co/YfSby3VCib",6,2,1922,like i have time for this right now            writing writer  writingcommunity author amwritingfantasy amwriting shortstories gay lgbt creative youngadult writingprompt writerslife  nanowrimo ,like time right writing writer writingcommunity author amwritingfantasy amwriting shortstories gay lgbt creative youngadult writingprompt writerslife nanowrimo,neutral,neutral
wandering_j,Sat Oct 30 20:08:34 +0000 2021,"Burbank, CA","Certain people call stuff like driving an electric car, composting, supporting the rights of women/poc/LGBT, etc ""virtue signaling."" Are they acknowledging these are actually good things?

And what do they call coal rollingand NRA stickers? Vice signaling?",5,0,3393,certain people call stuff like driving an electric car composting supporting the rights of womenpoclgbt etc virtue signaling are they acknowledging these are actually good things  and what do they call coal rollingand nra stickers vice signaling,certain people call stuff like driving electric car composting supporting rights womenpoclgbt etc virtue signaling acknowledging actually good things call coal rollingand nra stickers vice signaling,anti-lgbt,anti-lgbt
Sowses_n_fixins,Sat Oct 30 19:59:51 +0000 2021,"Burbank, CA","@DantonGeri @jessehawken Easily removed from the movie for China but then some buzzfeed writer will say ""this glance is everything. It's more important to the LGBT community than Obergefell v Hodges!""",39,0,424,  easily removed from the movie for china but then some buzzfeed writer will say this glance is everything it is more important to the lgbt community than obergefell v hodges,easily removed movie china buzzfeed writer say glance everything important lgbt community obergefell v hodges,neutral,neutral
tombellino,Sat Oct 30 19:55:52 +0000 2021,CA,@AlanGBrake Breakthrough for lgbt rights,1,0,3758, breakthrough for lgbt rights,breakthrough lgbt rights,pro-lgbt,pro-lgbt
SDSULGBTQ1,Sat Oct 30 19:35:48 +0000 2021,CA,"History has erased many, including lgbtqia.  Shouldnât lgbt history be included in @calstate ethnic+ studies requirement?  @Steve_Glazer @Portantino @ChrisWardCA @toniatkins @DougCaseSD https://t.co/93dwP5eKVM",0,0,287,history has erased many including lgbtqia  shouldn t lgbt history be included in  ethnic studies requirement       ,history erased many including lgbtqia lgbt history included ethnic studies requirement,pro-lgbt,neutral
transbutterfly0,Sat Oct 30 19:27:22 +0000 2021,CA,"Check out my new NFT on OpenSea! https://t.co/AplupjAnhd via @opensea     Please support! All my sisters and brothers in the #LGBT community, i need your support! Mega love to everyone today!",1,1,4163,check out my new nft on opensea  via      please support all my sisters and brothers in the lgbt community i need your support mega love to everyone today,check new nft opensea via please support sisters brothers lgbt community need support mega love everyone today,pro-lgbt,pro-lgbt
fancytomboy,Sat Oct 30 19:20:50 +0000 2021,CA,@egemini618 Girlâ¦ apparently racial and LGBT acceptance has gone down amongst young people. Weâre cooked! And yeah I certainly do not want to live in my elder years with a nefarious President. Scary to think about.,0,0,358, girl  apparently racial and lgbt acceptance has gone down amongst young people we re cooked and yeah i certainly do not want to live in my elder years with a nefarious president scary to think about,girl apparently racial lgbt acceptance gone amongst young people cooked yeah certainly want live elder years nefarious president scary think,anti-lgbt,anti-lgbt
CWolert,Sat Oct 30 19:18:05 +0000 2021,CA,"@CWB95735369 Nope, I DO sympathize with people who lose their jobs because they're lgbt+ though",0,0,216, nope i do sympathize with people who lose their jobs because they are lgbt though,nope sympathize people lose jobs lgbt though,anti-lgbt,anti-lgbt
youngnate19,Sat Oct 30 18:49:01 +0000 2021,CA,"Who tf gave these LGBT GROUPS A VOICE , they cryin about everything now they goin cancel the whole world for not being gay ð¤¦ð½ââï¸ one fucked up society ð",3,2,159,who tf gave these lgbt groups a voice  they cryin about everything now they goin cancel the whole world for not being gay       one fucked up society  ,tf gave lgbt groups voice cryin everything goin cancel whole world gay one fucked society,anti-lgbt,anti-lgbt
turnanuleaf,Sat Oct 30 18:28:48 +0000 2021,CA,"What people don't understand about Dave Chappelle and his stance,  it's not him vs the LGBT community,  it's him vs his 1st amendment right. 
Just because you don't like what a person says doesn't mean they don't have a right to say it,  especially, if they're not reciting harm.",0,0,31,what people do not understand about dave chappelle and his stance  it is not him vs the lgbt community  it is him vs his  amendment right  just because you do not like what a person says does not mean they do not have a right to say it  especially if they are not reciting harm,people understand dave chappelle stance vs lgbt community vs amendment right like person says mean right say especially reciting harm,neutral,neutral
GBGundersen,Sat Oct 30 18:22:40 +0000 2021,CA,"@wdlindsy People confuse ideals with reality. Yes, Catholics shouldnât act like this. But the fact is that they do, and they weaponize the faith and their power within the Church to perpetuate bigotry against racial minorities, LGBT+, the poor, and many others.",2,0,3021, people confuse ideals with reality yes catholics shouldn t act like this but the fact is that they do and they weaponize the faith and their power within the church to perpetuate bigotry against racial minorities lgbt the poor and many others,people confuse ideals reality yes catholics act like fact weaponize faith power within church perpetuate bigotry racial minorities lgbt poor many others,neutral,neutral
WeHoLove,Sat Oct 30 18:01:45 +0000 2021,CA,"First club night out in a long time ð¥°ð¥³ð¥°â

gay happy love halloween weho like marriage lgbt party fun instagood selfie daavidvilla Chapel #travisgonzales GayWeHo https://t.co/T3nRQ15YUQ https://t.co/vObjLQFDeN",0,0,38855,first club night out in a long time       gay happy love halloween weho like marriage lgbt party fun instagood selfie daavidvilla chapel travisgonzales gayweho  ,first club night long time gay happy love halloween weho like marriage lgbt party fun instagood selfie daavidvilla chapel travisgonzales gayweho,pro-lgbt,pro-lgbt
shoulderdevil09,Sat Oct 30 17:58:23 +0000 2021,CA,"@realLizUSA Corporate #liberal media continue to perpetuate lies and division to push their radical #LGBT global transgender agenda. 

They defend current corrupt #elitist system that starves #workingclass in favour of profits by use of #china slave labor model.",0,0,191, corporate liberal media continue to perpetuate lies and division to push their radical lgbt global transgender agenda   they defend current corrupt elitist system that starves workingclass in favour of profits by use of china slave labor model,corporate liberal media continue perpetuate lies division push radical lgbt global transgender agenda defend current corrupt elitist system starves workingclass favour profits use china slave labor model,anti-lgbt,anti-lgbt
LGBTMarriage,Sat Oct 30 17:44:56 +0000 2021,CA,"#SERBIA: Earlier this year, Parliament passed a bill banning discrimination based on ""sex characteristics"", including intersex status: #LGBT #Intersex #trans #LGBTrights https://t.co/PQ0TUq0fcL",6,2,273,serbia earlier this year parliament passed a bill banning discrimination based on sex characteristics including intersex status lgbt intersex trans lgbtrights ,serbia earlier year parliament passed bill banning discrimination based sex characteristics including intersex status lgbt intersex trans lgbtrights,pro-lgbt,anti-lgbt
TurboKitty,Sat Oct 30 17:35:39 +0000 2021,CA,Ghana's law curbing LGBT rights sparks Anglican church rift | Africanews https://t.co/6OxR6hK9Z9,3,0,9188,ghana is law curbing lgbt rights sparks anglican church rift  africanews ,ghana law curbing lgbt rights sparks anglican church rift africanews,anti-lgbt,anti-lgbt
kahntra,Sat Oct 30 17:29:05 +0000 2021,California,Whenever I see the full LGBT letters I can never tell if it's real or someone mocking it,12,0,2411,whenever i see the full lgbt letters i can never tell if it is real or someone mocking it,whenever see full lgbt letters never tell real someone mocking,anti-lgbt,anti-lgbt
LaurieBarron19,Sat Oct 30 17:22:40 +0000 2021,California Republic,"@MoniquePiqueFD https://t.co/r3WYLGWTSP I wiped the rain from my eyes.  The saliva ran down the side of my mouth.  Attack! 
It was soon over.  I so liked the color blue and how it looked on me, but now my t-shirt was adorned in crimson red.   #LGBT #writing  #vampire  #WritingCommunity",3,0,4725,  i wiped the rain from my eyes  the saliva ran down the side of my mouth  attack  it was soon over  i so liked the color blue and how it looked on me but now my tshirt was adorned in crimson red   lgbt writing  vampire  writingcommunity,wiped rain eyes saliva ran side mouth attack soon liked color blue looked tshirt adorned crimson red lgbt writing vampire writingcommunity,neutral,neutral
