user_screen_name,created_at,location,text,fav,rt_count,friend,clean_text_1,clean_text_2,aspect,Prediction
redandblack,Wed Oct 27 14:30:11 +0000 2021,"Athens, GA","Nearly 50 years ago, a University of Georgia student group made history by hosting the first public dance for gay students at a Southeastern university. October marks LGBT History Month and a chance for the UGA community to reflect on this landmark event. https://t.co/7PhcOLrN6C",2,0,5902,nearly  years ago a university of georgia student group made history by hosting the first public dance for gay students at a southeastern university october marks lgbt history month and a chance for the uga community to reflect on this landmark event ,nearly years ago university georgia student group made history hosting first public dance gay students southeastern university october marks lgbt history month chance uga community reflect landmark event,pro-lgbt,pro-lgbt
simonwillo,Wed Oct 27 14:18:49 +0000 2021,"Athens, GA",When (white) gays say Ã¢ÂÂlgbtÃ¢ÂÂ https://t.co/wnQwoinY6W,1,0,3022,when white gays say  lgbt  ,white gays say lgbt,neutral,neutral
simonwillo,Wed Oct 27 14:18:47 +0000 2021,"Athens, GA",As lgbt* people we donÃ¢ÂÂt get to call trans people our siblings when weÃ¢ÂÂve collectively also done an immensely crap job at treating them with the respect with which we treat each other. Wait until they call us siblings. https://t.co/LQBwWYpfzO,1,0,3022,as lgbt people we don t get to call trans people our siblings when we ve collectively also done an immensely crap job at treating them with the respect with which we treat each other wait until they call us siblings ,lgbt people get call trans people siblings collectively also done immensely crap job treating respect treat wait call us siblings,neutral,anti-lgbt
BigMike634512,Wed Oct 27 01:58:38 +0000 2021,"Athens, GA",Is tonight lgbt night for the lakers?,0,0,37,is tonight lgbt night for the lakers,tonight lgbt night lakers,neutral,neutral
RyneMeadow,Tue Oct 26 04:02:17 +0000 2021,"Athens, GA","Please, never grow old Ã°ÂÂ¥Â²Ã°ÂÂÂ

#myheart #kitty #kittycat #kittylove #petstagram #purrfect #love #life #bedtime #cuddles #indie #music #musician #singersongwriter #songbird #southern #athensga #lgbt #gayboy https://t.co/268OEsGhJ7",2,0,604,please never grow old     myheart kitty kittycat kittylove petstagram purrfect love life bedtime cuddles indie music musician singersongwriter songbird southern athensga lgbt gayboy ,please never grow old myheart kitty kittycat kittylove petstagram purrfect love life bedtime cuddles indie music musician singersongwriter songbird southern athensga lgbt gayboy,pro-lgbt,pro-lgbt
MisterSlapstick,Sun Oct 24 23:30:34 +0000 2021,"Athens, GA",@DingleBingus @RealScreenGeek Which further proves my point. It'd be pretty damn silly for evil incarnate to draw the line at harming the LGBT community.,1,0,266,  which further proves my point it would be pretty damn silly for evil incarnate to draw the line at harming the lgbt community,proves point would pretty damn silly evil incarnate draw line harming lgbt community,neutral,anti-lgbt
thecarpetelf,Sun Oct 24 11:07:44 +0000 2021,"Athens, GA",@p_emmet Dropping the T from LGBT but I'm the ignorant one lol,0,0,767, dropping the t from lgbt but i am the ignorant one lol,dropping lgbt ignorant one lol,anti-lgbt,anti-lgbt
GingyyFPS,Sat Oct 30 06:34:29 +0000 2021,ATL,"@DatBoi136 @CoolMcDool @Respawn Who the gay peeps, totally agree. I love seeing pro LGBT stuff in the games i play everyday, not just one. at first i was okay with it, now IÃ¢ÂÂm having folks in my lobbies literally ask why i donÃ¢ÂÂt have it on. IÃ¢ÂÂve restored to playing solo, and hell, itÃ¢ÂÂs easier 1v3.",0,0,73,   who the gay peeps totally agree i love seeing pro lgbt stuff in the games i play everyday not just one at first i was okay with it now i m having folks in my lobbies literally ask why i don t have it on i ve restored to playing solo and hell it s easier ,gay peeps totally agree love seeing pro lgbt stuff games play everyday one first okay folks lobbies literally ask restored playing solo hell easier,pro-lgbt,pro-lgbt
THE_PIEMASTER,Fri Oct 29 16:35:17 +0000 2021,Atl,No one actually thinks Michael Myers is homophobic and if they do theyÃ¢ÂÂre an idiot. But people still love the chance to come together and shit on the lgbt community. https://t.co/asOdJK3Kp3,0,0,415,no one actually thinks michael myers is homophobic and if they do they re an idiot but people still love the chance to come together and shit on the lgbt community ,one actually thinks michael myers homophobic idiot people still love chance come together shit lgbt community,anti-lgbt,anti-lgbt
shtizzzy,Wed Oct 27 21:48:58 +0000 2021,atl,@queermesss a little bit of insecurity and also that lgbt people mostly only interact with other lgbt people so they notice more things to critique,0,0,404, a little bit of insecurity and also that lgbt people mostly only interact with other lgbt people so they notice more things to critique,little bit insecurity also lgbt people mostly interact lgbt people notice things critique,anti-lgbt,anti-lgbt
drunkengay,Wed Oct 27 21:26:51 +0000 2021,ATL,@LGBT_Yenta Are you high clariee?,1,0,864, are you high clariee,high clariee,neutral,neutral
dominic_botinic,Tue Oct 26 17:28:43 +0000 2021,atl,@wallaceprower Being a Weezer fan is like being LGBT it's not exactly a choice,4,2,980, being a weezer fan is like being lgbt it is not exactly a choice,weezer fan like lgbt exactly choice,pro-lgbt,pro-lgbt
ELIWHY,Tue Oct 26 14:55:07 +0000 2021,ATL,"After dropping out of college, Dmitri must travel cross country with his (cis, heterosexual, perfect) older brother he spent his entire childhood adoring &amp; envying in equal parts. A story about family, the fear of never being enough, and WHAT COMES AFTER. #DVPit #TV #OG #LGBT https://t.co/F0DpUYBagL",15,5,484,after dropping out of college dmitri must travel cross country with his cis heterosexual perfect older brother he spent his entire childhood adoring  envying in equal parts a story about family the fear of never being enough and what comes after dvpit tv og lgbt ,dropping college dmitri must travel cross country cis heterosexual perfect older brother spent entire childhood adoring envying equal parts story family fear never enough comes dvpit tv og lgbt,pro-lgbt,pro-lgbt
ELIWHY,Tue Oct 26 14:46:53 +0000 2021,ATL,"Hello #DVart! My name is Eli and I'm a trans artist looking for any #WFH, ideally #YA, #AF, and really, anything that comes from a trans or lgbt voice! 

Ã¢Â­ÂÃ¯Â¸Âhttps://t.co/G5wys60FCLÃ¢Â­ÂÃ¯Â¸Â https://t.co/8evJmfdoW2",7,4,484,hello dvart my name is eli and i am a trans artist looking for any wfh ideally ya af and really anything that comes from a trans or lgbt voice        ,hello dvart name eli trans artist looking wfh ideally ya af really anything comes trans lgbt voice,pro-lgbt,pro-lgbt
tgordonvideo,Sat Oct 23 13:41:22 +0000 2021,ATL,"@froomkin @misosusanowa @jayrosen_nyu Many praising McConnell for his effectiveness in crushing democracy don't realize they're really praising Hitler for his effectiveness ruling Germany in an efficient way.

McConnell is Rudolph Hess helping eliminate non-Christians, LGBT, Democrats, civil rights.",0,0,2467,   many praising mcconnell for his effectiveness in crushing democracy do not realize they are really praising hitler for his effectiveness ruling germany in an efficient way  mcconnell is rudolph hess helping eliminate nonchristians lgbt democrats civil rights,many praising mcconnell effectiveness crushing democracy realize really praising hitler effectiveness ruling germany efficient way mcconnell rudolph hess helping eliminate nonchristians lgbt democrats civil rights,neutral,neutral
jonavaark,Tue Oct 26 02:23:43 +0000 2021,atl Ã°ÂÂÂ­Ã°ÂÂÂ³ he/she Ã¢ÂÂÃ¯Â¸Â Ã°ÂÂÂ,its corny its ugly and it shouldnÃ¢ÂÂt be messed with i literally dont care. like Ã°ÂÂ¤Â¦Ã°ÂÂÂ½ these are comfort movies for us in the lgbt community and see it b watered down to that bs is insulting idc kiss my ass n my anus cuz its finally famous,3,0,339,its corny its ugly and it shouldn t be messed with i literally dont care like    these are comfort movies for us in the lgbt community and see it b watered down to that bs is insulting idc kiss my ass n my anus cuz its finally famous,corny ugly messed literally dont care like comfort movies us lgbt community see b watered bs insulting idc kiss ass n anus cuz finally famous,neutral,neutral
MartelStar,Wed Oct 27 22:47:30 +0000 2021,ATL HOE,Ã¢ÂÂI donÃ¢ÂÂt see yÃ¢ÂÂall at the marchesÃ¢ÂÂÃ¢ÂÂ¦..as if NONE of the black people at all these protests arenÃ¢ÂÂt of the LGBT community https://t.co/KpxcE9rrQH,0,1,1743, i don t see y all at the marches  as if none of the black people at all these protests aren t of the lgbt community ,see marches none black people protests lgbt community,neutral,neutral
wadrizzy,Sat Oct 23 20:43:59 +0000 2021,"ATL, Shawdy",That lil bookie shit is disgusting. But unfortunately itÃ¢ÂÂs the same shit LGBT folks from the hood deal with their entire lives.,2,2,625,that lil bookie shit is disgusting but unfortunately it s the same shit lgbt folks from the hood deal with their entire lives,lil bookie shit disgusting unfortunately shit lgbt folks hood deal entire lives,neutral,neutral
marquee_report,Sat Oct 30 17:27:01 +0000 2021,Atlanta,"Josh OÃ¢ÂÂConnor, Paul Mescal Teaming for Romance Ã¢ÂÂThe History of SoundÃ¢ÂÂ https://t.co/IrjJBpbg5z",0,0,381,josh o connor paul mescal teaming for romance  the history of sound  ,josh connor paul mescal teaming romance history sound,neutral,neutral
spiceedaddy,Thu Oct 28 21:08:30 +0000 2021,Atlanta,In reality itÃ¢ÂÂs Black LGBT+ people VS everybody. WeÃ¢ÂÂre dehumanized and harmed within and outside of Black communities. No where is safe. https://t.co/RwEX9BXusL,39,16,997,in reality it s black lgbt people vs everybody we re dehumanized and harmed within and outside of black communities no where is safe ,reality black lgbt people vs everybody dehumanized harmed within outside black communities safe,neutral,neutral
ThatJakePC,Thu Oct 28 15:13:05 +0000 2021,Atlanta,@KindaHagi *holding finger up to earpiece* weÃ¢ÂÂre learning just now that Lightyear will have Ã¢ÂÂsubstantialÃ¢ÂÂ LGBT representation,50,0,417, holding finger up to earpiece we re learning just now that lightyear will have  substantial  lgbt representation,holding finger earpiece learning lightyear substantial lgbt representation,pro-lgbt,neutral
badwolfstar,Tue Oct 26 18:15:04 +0000 2021,atlanta,Why do I get bothered when I see the 'G' first in LGBT+ variants,2,0,421,why do i get bothered when i see the g first in lgbt variants,get bothered see g first lgbt variants,anti-lgbt,anti-lgbt
pookie3007,Tue Oct 26 14:09:02 +0000 2021,atlanta,FUCK bones day the mcrib is back #LGBT,6,2,627,fuck bones day the mcrib is back lgbt,fuck bones day mcrib back lgbt,neutral,neutral
Mmmmriah,Tue Oct 26 09:04:10 +0000 2021,atlanta,feeling very lgbt rn https://t.co/ymzLy2BJUp,1,0,153,feeling very lgbt rn ,feeling lgbt rn,pro-lgbt,pro-lgbt
WilNobles,Mon Oct 25 17:18:13 +0000 2021,Atlanta,"We also interviewed the leading candidates, i.e. the folks who have worked in City Hall in some capacity. @ByTylerEstep profiled City Councilman @AntonioforATL Brown, who would be Atlanta's openly LGBT mayor if elected. https://t.co/0Wo4bV7mRx (3/8)",1,0,2197,we also interviewed the leading candidates ie the folks who have worked in city hall in some capacity  profiled city councilman  brown who would be atlanta is openly lgbt mayor if elected  ,also interviewed leading candidates ie folks worked city hall capacity profiled city councilman brown would atlanta openly lgbt mayor elected,neutral,pro-lgbt
stratosphere53,Mon Oct 25 15:44:44 +0000 2021,Atlanta,Legal Battle Brews over LGBT Rainbow Street Crossing in Lithuania https://t.co/P7fD22GnkL via @BreitbartNews,0,1,581,legal battle brews over lgbt rainbow street crossing in lithuania  via ,legal battle brews lgbt rainbow street crossing lithuania via,neutral,neutral
likangelo,Sat Oct 23 22:35:03 +0000 2021,Atlanta,@_aanti__ HeÃ¢ÂÂs officially the B in LGBT . Congratulations,0,0,836, he s officially the b in lgbt  congratulations,officially b lgbt congratulations,pro-lgbt,pro-lgbt
annarodionovas,Sat Oct 23 13:54:02 +0000 2021,Atlanta,something lgbt just happened to me,6,0,1137,something lgbt just happened to me,something lgbt happened,neutral,neutral
DavidD_MC,Sun Oct 31 02:46:58 +0000 2021,Atlanta ,"@SiNuTrmon I think thereÃ¢ÂÂs definitely a hypocritical aspect of ArsenalÃ¢ÂÂs different responses to the issues ($$$) but it says a lot that it took them supporting LGBT for the Muslims (which is a very serious problem) to come up. 

DonÃ¢ÂÂt know why there has to be a competition over this stuff",1,0,774, i think there s definitely a hypocritical aspect of arsenal s different responses to the issues  but it says a lot that it took them supporting lgbt for the muslims which is a very serious problem to come up   don t know why there has to be a competition over this stuff,think definitely hypocritical aspect arsenal different responses issues says lot took supporting lgbt muslims serious problem come know competition stuff,neutral,neutral
PharoahDramonde,Sun Oct 24 18:29:38 +0000 2021,Atlanta Ga,"@JaxsonReid2 the narrative promoted isn't true, this fool was trolling Boosie and then got that work, just like any other niggas trolling a street dude, take the LGBT out of it and you have two fucking men...rules to respect don't change just because of your sexual preferencesÃ°ÂÂ¤Â·Ã°ÂÂÂ¾Ã¢ÂÂÃ¢ÂÂÃ¯Â¸Â",0,0,12, the narrative promoted is not true this fool was trolling boosie and then got that work just like any other niggas trolling a street dude take the lgbt out of it and you have two fucking menrules to respect do not change just because of your sexual preferences     ,narrative promoted true fool trolling boosie got work like niggas trolling street dude take lgbt two fucking menrules respect change sexual preferences,neutral,neutral
ANGELCUCCI_,Sun Oct 31 00:03:08 +0000 2021,"Atlanta, GA",@EA_Yonko96 I second this. I get very lgbt vibes from them,1,1,189, i second this i get very lgbt vibes from them,second get lgbt vibes,neutral,neutral
FeverAndRemedy,Sat Oct 30 22:19:11 +0000 2021,"Atlanta, GA","@DANILALONDERS yeah i honestly donÃ¢ÂÂt know how i was able to go to class the next day but my college has a big lgbt population and it was so harrowing, everyone was dead silent",5,0,774, yeah i honestly don t know how i was able to go to class the next day but my college has a big lgbt population and it was so harrowing everyone was dead silent,yeah honestly know able go class next day college big lgbt population harrowing everyone dead silent,neutral,neutral
aliseasimone,Sat Oct 30 19:53:01 +0000 2021,"Atlanta, GA",@itstrinlol Something very lgbt just happened to me,1,0,242, something very lgbt just happened to me,something lgbt happened,neutral,neutral
_alayna_b,Sat Oct 30 19:48:05 +0000 2021,"Atlanta, GA","@bmwisswell @boitaleeve @sootphobics @hogotheforsaken Sweetie,  Ã¢ÂÂcisgenderÃ¢ÂÂ is a new term literally created by a a member of the lgbt community to label 99% of the world who doesnÃ¢ÂÂt belong to their community. How is that stuck on bigotry to state a known FACT?",0,0,79,    sweetie   cisgender  is a new term literally created by a a member of the lgbt community to label  of the world who doesn t belong to their community how is that stuck on bigotry to state a known fact,sweetie cisgender new term literally created member lgbt community label world belong community stuck bigotry state known fact,neutral,neutral
jayhellonem,Sat Oct 30 19:40:35 +0000 2021,"Atlanta, GA","Not at all. Everybody is a doctor, psychologist, civil rights leader, president, LGBT consultant, alpha and Omega Ã°ÂÂÂÃ°ÂÂÂ https://t.co/c84WuieTDr",2,1,6377,not at all everybody is a doctor psychologist civil rights leader president lgbt consultant alpha and omega    ,everybody doctor psychologist civil rights leader president lgbt consultant alpha omega,neutral,neutral
NcsVentures,Sat Oct 30 14:37:55 +0000 2021,"Atlanta, GA",Suspected Iranian hack hits Israeli LGBT site; users fear leak of personal info | #microsoft | #hacking |ÃÂ #cybersecurity https://t.co/NYVevOIVes,0,0,159,suspected iranian hack hits israeli lgbt site users fear leak of personal info  microsoft  hacking  cybersecurity ,suspected iranian hack hits israeli lgbt site users fear leak personal info microsoft hacking cybersecurity,anti-lgbt,anti-lgbt
_alayna_b,Sat Oct 30 10:45:35 +0000 2021,"Atlanta, GA",@boitaleeve @sootphobics @hogotheforsaken No just a woman. Cisgender is a made up label created by the lgbt to try to label those who arenÃ¢ÂÂt apart of their community,0,0,79,   no just a woman cisgender is a made up label created by the lgbt to try to label those who aren t apart of their community,woman cisgender made label created lgbt try label apart community,anti-lgbt,anti-lgbt
samwisethepooh,Sat Oct 30 04:56:12 +0000 2021,"Atlanta, GA","Happy Halloweekend from your friendly neighbourhood pup! 

Commissions open! 

#furry #furryart #pup #lgbt #art #pup #gabumon #digimon https://t.co/Q8McQaupDX",7,1,243,happy halloweekend from your friendly neighbourhood pup   commissions open   furry furryart pup lgbt art pup gabumon digimon ,happy halloweekend friendly neighbourhood pup commissions open furry furryart pup lgbt art pup gabumon digimon,neutral,neutral
mothxwings,Sat Oct 30 03:13:55 +0000 2021,"Atlanta, GA",something lgbt is happening @jessicammichael https://t.co/FZGBUImuuS,26,2,839,something lgbt is happening  ,something lgbt happening,neutral,neutral
LGBTHIPHOP,Sat Oct 30 01:17:47 +0000 2021,"Atlanta, GA","Yo! We're live, serving the best in #LGBT Hip-Hop. 
Tag 2 people and join us if you enjoy a dope vibe and some good music.",2,0,99,yo we are live serving the best in lgbt hiphop  tag  people and join us if you enjoy a dope vibe and some good music,yo live serving best lgbt hiphop tag people join us enjoy dope vibe good music,pro-lgbt,pro-lgbt
MinorityOfOne75,Sat Oct 30 00:51:35 +0000 2021,"Atlanta, GA",@digenova_h WonÃ¢ÂÂt the Democratic nominee probably be better on LGBT rights?,0,0,4999, won t the democratic nominee probably be better on lgbt rights,democratic nominee probably better lgbt rights,pro-lgbt,pro-lgbt
DessieBruwn,Sat Oct 30 00:41:40 +0000 2021,"Atlanta, GA","@THE_JMIKE @lydiaforson Someone modifying their bodys to look like whatever has got nothing to do with lgbt

Think mr man think!",0,0,602,  someone modifying their bodys to look like whatever has got nothing to do with lgbt  think mr man think,someone modifying bodys look like whatever got nothing lgbt think mr man think,neutral,neutral
KeonJsteele,Sat Oct 30 00:38:35 +0000 2021,"Atlanta, GA","Black LGBT community: the murder rate and violence committed towards Black trans women is too high 

The media: letÃ¢ÂÂs talk about the 10 people upset about Dave Chapelle 

LGBT: the rate of suicide and homeless amongst youths is too high 

The media: Michael Myers is homophobic",2,0,569,black lgbt community the murder rate and violence committed towards black trans women is too high   the media let s talk about the  people upset about dave chapelle   lgbt the rate of suicide and homeless amongst youths is too high   the media michael myers is homophobic,black lgbt community murder rate violence committed towards black trans women high media let talk people upset dave chapelle lgbt rate suicide homeless amongst youths high media michael myers homophobic,anti-lgbt,anti-lgbt
MinorityOfOne75,Fri Oct 29 23:52:10 +0000 2021,"Atlanta, GA","Lincoln for helping end slavery, and also his low key first wave feminism was nice. Obama and Biden are my modern favorites for their support of causing like LGBT rights and racial justice. https://t.co/GgQaojLFFA",1,0,4999,lincoln for helping end slavery and also his low key first wave feminism was nice obama and biden are my modern favorites for their support of causing like lgbt rights and racial justice ,lincoln helping end slavery also low key first wave feminism nice obama biden modern favorites support causing like lgbt rights racial justice,pro-lgbt,pro-lgbt
MinorityOfOne75,Fri Oct 29 23:52:03 +0000 2021,"Atlanta, GA","@bengrossbg Lincoln for helping end slavery, and also his low key first wave feminism was nice. Obama and Biden are my modern favorites for their support of causing like LGBT rights and racial justice.",1,0,4999, lincoln for helping end slavery and also his low key first wave feminism was nice obama and biden are my modern favorites for their support of causing like lgbt rights and racial justice,lincoln helping end slavery also low key first wave feminism nice obama biden modern favorites support causing like lgbt rights racial justice,pro-lgbt,pro-lgbt
jayhellonem,Fri Oct 29 23:22:44 +0000 2021,"Atlanta, GA",@MissPick330 LGBT doing too much. Lol that mf ain't even real,1,0,6377, lgbt doing too much lol that mf ai not even real,lgbt much lol mf ai even real,anti-lgbt,anti-lgbt
JellybeanReds,Fri Oct 29 21:08:28 +0000 2021,"Atlanta, GA","Rainbow is the new Black
Read the Blog:
https://t.co/ipXzYKEffv

Buy the NFT:
https://t.co/jILJQCR2Sy

#nftart #nftartist #NFTs #NFTCommunity
#magic #Jellybing #Rainbow 
#diversityandInclusion #lgbt #lgbtq #lgbtqia #lgbtqiaWeAreOne #RainbowLife #oneofthem @ghostmarketio https://t.co/QJZ40mBETY",1,1,2923,rainbow is the new black read the blog   buy the nft   nftart nftartist nfts nftcommunity magic jellybing rainbow  diversityandinclusion lgbt lgbtq lgbtqia lgbtqiaweareone rainbowlife oneofthem  ,rainbow new black read blog buy nft nftart nftartist nfts nftcommunity magic jellybing rainbow diversityandinclusion lgbt lgbtq lgbtqia lgbtqiaweareone rainbowlife oneofthem,pro-lgbt,pro-lgbt
Tr3Waiv,Fri Oct 29 18:02:57 +0000 2021,"Atlanta, GA",Your LGBT friend is NOT your accessory Ã°ÂÂÂ¯Ã°ÂÂÂ³Ã¯Â¸ÂÃ¢ÂÂÃ°ÂÂÂ,0,0,91,your lgbt friend is not your accessory      ,lgbt friend accessory,neutral,neutral
EscaflowneClown,Fri Oct 29 15:12:23 +0000 2021,"Atlanta, GA","@4theculture____ These are the white people that families are banning books by Black authors across the country right now and supporting politicians that are passing voter restriction laws, anti-LGBT laws, and coming for women rights. But they love the music and y'all playing football!",361,35,4999, these are the white people that families are banning books by black authors across the country right now and supporting politicians that are passing voter restriction laws antilgbt laws and coming for women rights but they love the music and yall playing football,white people families banning books black authors across country right supporting politicians passing voter restriction laws antilgbt laws coming women rights love music yall playing football,pro-lgbt,pro-lgbt
NathanBozeman2,Fri Oct 29 13:52:31 +0000 2021,"Atlanta, GA",@logosaetos @barbo_eric @michaeljknowles What an unbelievably disingenuous take. You're telling me you're not seeing LGBT+ in almost every single commercial on TV and every show?,3,0,385,   what an unbelievably disingenuous take you are telling me you are not seeing lgbt in almost every single commercial on tv and every show,unbelievably disingenuous take telling seeing lgbt almost every single commercial tv every show,anti-lgbt,anti-lgbt
_alayna_b,Fri Oct 29 11:06:18 +0000 2021,"Atlanta, GA",@Highly_kxzde @leilers07 @jackie__AK @FinallyZoey23 You still donÃ¢ÂÂt get to speak on black issues. YÃ¢ÂÂall (lgbt community) always try to use black people in your arguments as a shield when a lot of those in your community are frankly some of the most racist people IÃ¢ÂÂve met,1,0,79,    you still don t get to speak on black issues y all lgbt community always try to use black people in your arguments as a shield when a lot of those in your community are frankly some of the most racist people i ve met,still get speak black issues lgbt community always try use black people arguments shield lot community frankly racist people met,anti-lgbt,anti-lgbt
DessieBruwn,Fri Oct 29 10:28:43 +0000 2021,"Atlanta, GA","@waddle_ay @AnaneEngineer @adolphe_patrick @bishopSarahM U a homophobe 
Dats what u are

Its fine if u dont agree with the lgbt community 
Dats acceptable 
Buh to push that dislike and disgust on people is what makes u a homophobe!

I said what i said",0,0,602,    u a homophobe  dats what u are  its fine if u dont agree with the lgbt community  dats acceptable  buh to push that dislike and disgust on people is what makes u a homophobe  i said what i said,u homophobe dats u fine u dont agree lgbt community dats acceptable buh push dislike disgust people makes u homophobe said said,pro-lgbt,pro-lgbt
thegentledyke,Fri Oct 29 03:54:33 +0000 2021,"Atlanta, GA",in an lgbt mood,3,0,2691,in an lgbt mood,lgbt mood,pro-lgbt,pro-lgbt
MarcusL_Crassus,Fri Oct 29 03:49:02 +0000 2021,"Atlanta, GA","@KingLeoRio The problem here isn't really the LGBT characters- well it kinda is because it feels like Disney is using them as like a sales pitch instead of, you know, actual actors

Their track record with LGBT stuff isn't exactly shiny",2,0,3494, the problem here is not really the lgbt characters well it kinda is because it feels like disney is using them as like a sales pitch instead of you know actual actors  their track record with lgbt stuff is not exactly shiny,problem really lgbt characters well kinda feels like disney using like sales pitch instead know actual actors track record lgbt stuff exactly shiny,neutral,neutral
EscaflowneClown,Fri Oct 29 03:19:00 +0000 2021,"Atlanta, GA","This country slowly slipping into fascism and I feel like I'm not seeing enough Black people in celebrity or athletes addressing it at all. Or am I just missing it? The book bans of Black authors, the silencing of Black teachers, the voter suppression bills, the anti-LGBT laws...",2,0,4999,this country slowly slipping into fascism and i feel like i am not seeing enough black people in celebrity or athletes addressing it at all or am i just missing it the book bans of black authors the silencing of black teachers the voter suppression bills the antilgbt laws,country slowly slipping fascism feel like seeing enough black people celebrity athletes addressing missing book bans black authors silencing black teachers voter suppression bills antilgbt laws,neutral,pro-lgbt
marie3vangeline,Fri Oct 29 01:15:53 +0000 2021,"Atlanta, GA",guys.... . . ..  ... I think it's gonna happen. I think something entirely lgbt is gonna happen between two male main characters... . . . my body is going to atomize and become part of the universe,4,0,430,guys      i think it is gonna happen i think something entirely lgbt is gonna happen between two male main characters    my body is going to atomize and become part of the universe,guys think gonna happen think something entirely lgbt gonna happen two male main characters body going atomize become part universe,neutral,neutral
